"","Acadi","American Samo","Arche","Badland","Big Ben","Biscayn","Black Canyon of the Gunniso","Bryce Canyo","Canyonland","Capitol Ree","Carlsbad Caverns","Channel Island","Congare","Crater Lak","Cuyahoga Valle","Death Valle","Denal","Dry Tortuga","Everglade","Gates of the Arcti","Gateway Arc","Glacie","Glacier Ba","Grand Canyon","Grand Teto","Great Basi","Great Sand Dune","Great Smoky Mountain","Guadalupe Mountain","Haleakal","Hawaiʻi Volcanoe","Hot Spring","Isle Royal","Joshua Tre","Katma","Kenai Fjord","Kings Canyo","Kobuk Valle","Lake Clar","Lassen Volcani","Mammoth Cav","Mesa Verde","Mount Rainie","North Cascade","Olympi","Petrified Fores","Pinnacle","Redwood","Rocky Mountai","Saguar","Sequoi","Shenandoa","Theodore Roosevel","Virgin Island","Voyageur","Wind Cav","Wrangell–St. Elias","Yellowston","Yosemite","Zio"
"Acadi",0,12092.3781792328,3471.60339939606,2728.57310869198,3510.36051893123,2334.74343515475,3329.33358909181,3731.03625833287,3522.19223113936,3620.8259793032,3412.098190459,4494.15154786012,1596.4329500387,4270.9000305544,1143.19948610721,4166.60278352526,5364.84469531944,2559.71900476486,2403.82867069884,5342.72633689088,1935.23109129778,3490.91028650913,4796.4716595644,3803.3806271027,3375.37157429257,3833.17279414882,3191.98409210625,1619.58274197244,3461.26898227079,8271.29657746311,8295.34140952391,2388.36453973697,1618.29099116391,4226.08294979047,5788.69061562367,5445.92364490238,4275.01066110891,5591.02675372807,5597.63698177172,4330.01574556787,1702.36423106332,3456.04411712354,4104.68077080701,4011.74593566732,4197.26674476629,3667.52106768998,4498.04377113081,4485.73674211736,3081.82607182595,3885.41760210235,4304.37044889366,1064.45559035672,2738.50430282839,2903.45485208369,1942.36796176427,2810.11068759174,5008.47112794161,3326.42912830399,4298.29525681253,3813.37595650688
"American Samo",12092.3781792328,0,8637.11090772962,9422.27177035724,8691.35498268025,10748.3819872532,8772.24294502395,8377.38711379398,8583.44048121921,8489.53482028687,8720.93381700795,7613.88494277312,10872.0050715519,8037.96302886785,10970.3949489463,7949.76696565874,8776.00850443188,10448.7596125417,10656.9713998243,9205.54984583785,10184.0720662278,8932.38960940031,8626.72474303419,8294.11599300984,8832.52845035521,8303.50764991961,8901.27246518392,10671.4360075147,8672.40113813459,4181.04722163133,4088.31713378661,9801.22207129976,10602.6291136986,7869.44851366395,8189.16467980332,8435.86627507374,7858.41948600139,9118.9712683234,8478.23567238681,7902.28070504955,10487.1535475034,8639.29532383239,8341.0017630364,8506.36051433155,8324.91455476601,8424.86639129368,7649.99859814294,7800.03679362937,9029.58769993082,8215.30619219902,7825.01386099652,11185.2131905782,9510.30346373985,12159.4549226,10307.8031817248,9342.32930482642,8721.00393131959,8903.25268137843,7858.02133280827,8296.07396615179
"Arche",3471.60339939606,8637.11090772962,0,817.079149868869,1197.23580706931,3114.87811809617,161.560646444385,259.896114298047,61.8613060872631,149.50237066093,859.118377154033,1024.00433679822,2633.26521585841,1156.70634661737,2400.42916730422,695.980429380256,3853.28183225688,2956.06638756175,3066.38157947948,4192.51473155493,1683.79296400001,1179.13678529692,2951.01965656928,369.253116608925,570.232114877458,412.022483768475,370.871987770522,2328.23539486931,862.944424864424,4866.11114630374,4869.36667228349,1546.39682592611,1989.05641029255,785.877085981628,3900.0620829257,3658.36784271832,818.164746327056,4412.98534554282,3893.74165834395,1044.37873168297,2064.43912451098,191.660175531594,1345.31494104583,1452.14660916656,1525.96914546024,401.058101465034,1051.66947821056,1264.64263682946,392.514921330445,718.369045410033,842.372000959344,2706.17812547623,1047.32179471624,4871.90449577687,1727.51242799337,745.543746457242,3340.46322754413,662.049317845537,873.815761269319,341.892399858293
"Badland",2728.57310869198,9422.27177035724,817.079149868869,0,1610.44862459046,2854.39535835131,722.775337425039,1066.91455303411,877.339214998709,954.247113800259,1296.49026791432,1817.46368038624,2178.34426474299,1588.06418605653,1739.80016807512,1476.81861292973,3722.38809444283,2772.98945299748,2829.07713993695,3971.09533964331,1177.16402084355,1047.50028452223,2870.24065644477,1185.22249867125,668.335561273974,1118.93751686853,715.088658488949,1850.78102563779,1329.36934571224,5547.72422572577,5567.87339513555,1309.59341306045,1182.91902663289,1601.93406313983,3899.64279578276,3608.435470386,1564.16576812081,4212.80290102495,3829.20273497997,1609.30190265545,1566.69988868537,888.448220330376,1544.42230399381,1539.11546940096,1690.90752028351,1148.61050108719,1778.26109311728,1782.23278520109,450.945611855538,1455.36672325215,1597.2626054295,2100.27451359618,365.517665337845,4512.63232091846,910.801174811585,81.5395495667331,3226.53456849675,646.422547713001,1574.33221569931,1143.90687004681
"Big Ben",3510.36051893123,8691.35498268025,1197.23580706931,1610.44862459046,0,2321.00647891372,1112.96954983998,1240.28643897899,1169.11557192814,1233.47893355655,343.19971700096,1620.08683587738,2187.83170518698,2268.13099688961,2370.42750299209,1487.16723546991,5050.50800303348,2084.53260364336,2248.57581227286,5385.10608719222,1590.80506113368,2356.06731748596,4147.86212769637,1124.14713611389,1741.52220877815,1482.31516183035,963.618087297716,1981.83847079257,334.29344093415,5381.8117532765,5342.53216370541,1126.70759147334,2442.99626690557,1301.47681444741,5084.13976917252,4851.15501103076,1653.50022357518,5608.09765589998,5087.35234434562,2076.65889336639,1820.62115062699,1005.60863250693,2526.89955691121,2646.64810576427,2708.40983743291,891.683470115146,1854.09817563755,2303.32119085452,1255.05524796494,769.510327541926,1646.50741606626,2512.22553683345,1967.00953089677,4086.84771391487,2313.70871788241,1589.19919112224,4537.67641000966,1819.96538563674,1780.17781616663,1275.51060262246
"Biscayn",2334.74343515475,10748.3819872532,3114.87811809617,2854.39535835131,2321.00647891372,0,2959.16537360019,3299.24237258328,3128.06481557681,3231.95630816577,2476.72629962462,3888.33833668123,903.732552701438,4260.20671424778,1734.48355249989,3676.44717303248,6513.80494403504,303.162597753513,92.9575827063642,6686.22554960605,1724.08142591695,3901.79231389004,5702.84109505545,3258.15859293768,3423.81817979251,3517.84456516604,2744.82655682169,1159.84042143828,2511.78131940258,7701.97816848441,7659.43587281973,1587.53732847609,2599.53581132995,3561.86986271466,6743.08922102928,6440.10443898707,3838.46538340921,6938.67096889258,6652.17233487047,4157.30638501704,1399.86526111073,2972.95436886928,4349.15432186893,4378.16573302732,4512.85255717865,3026.22106149255,4066.37691071562,4379.38344118836,2872.65628196871,3043.23692142122,3844.75863672278,1437.49007592856,3137.87497231793,1778.36909527291,2770.8542596718,2906.13161307607,6038.68057350417,3445.55264004673,3937.79768637709,3367.02591340779
"Black Canyon of the Gunniso",3329.33358909181,8772.24294502395,161.560646444385,722.775337425039,1112.96954983998,2959.16537360019,0,406.746589270092,197.404818593833,304.197263702684,769.934457857742,1165.26452409889,2471.72025280288,1305.55977817293,2248.75075891321,845.728693262954,3947.93407135664,2804.91613311302,2911.91055067695,4273.21716356815,1524.75755884172,1243.22712020795,3049.63438120586,480.639704287598,628.555194683501,573.48465194588,214.976493241785,2167.0281799975,781.934656237302,5022.92243053953,5024.48534648043,1386.83961593516,1872.61455550942,906.462284756227,4014.32516084603,3764.75388659995,974.645379649357,4497.97414114312,3998.75412130226,1203.31491715386,1903.99688967084,168.498352648025,1468.29171334484,1560.73334061835,1647.22519290648,429.667068647875,1209.30069684539,1421.86843425757,274.163669129397,745.162483796407,997.137987487594,2549.20803917238,996.032188493812,4713.27616510411,1624.43530095431,659.569457669593,3435.81326485185,708.58810364366,1034.39931418177,489.217717817463
"Bryce Canyo",3731.03625833287,8377.38711379398,259.896114298047,1066.91455303411,1240.28643897899,3299.24237258328,406.746589270092,0,209.91300579132,113.064454919349,926.574639992854,764.108842535914,2860.13382194801,1032.18753497989,2655.38659239047,439.016699830632,3843.83172407294,3124.32637236804,3246.01376399489,4208.79569622291,1927.77989234192,1256.25522896227,2937.90706351889,167.609035964552,693.907165689592,242.698590630944,588.759102387514,2561.2972073483,916.432780745583,4618.26015389673,4618.47441477497,1753.81748689153,2244.66472340719,537.761082402699,3848.67618468294,3625.31703821285,571.929832199626,4420.47609508294,3862.72180513172,869.923007989289,2302.93020154553,329.664361205653,1296.79182452147,1435.55221239065,1477.63437970021,351.258874158096,807.841462754981,1097.47916119055,652.213325459877,609.804696524435,592.111431593935,2954.45743550735,1266.66247498191,5067.33007360283,1977.3985969195,992.287966158938,3331.8509802795,793.329435419986,646.022878322119,82.6220419961546
"Canyonland",3522.19223113936,8583.44048121921,61.8613060872631,877.339214998709,1169.11557192814,3128.06481557681,197.404818593833,209.91300579132,0,108.614988015947,834.83851542016,972.075656135609,2662.51918372562,1155.61764612469,2445.57438033233,648.850950886903,3882.74560284382,2963.90738379327,3077.96340874333,4227.32759745012,1721.3325267907,1222.34677353467,2979.22615110362,308.149875682578,618.465459102362,390.410550659385,391.852509117996,2360.25596691892,835.401187210617,4825.70865932864,4827.08180019275,1566.93261023989,2046.99592114445,727.160022200504,3920.40197561124,3682.6941271029,777.590746206546,4446.12520063965,3918.61875684167,1029.25348639528,2099.0846838465,170.136587554406,1363.32562971947,1477.54770983849,1544.55342856449,347.597708497635,1012.59858288549,1252.39063763042,447.631038359296,662.154854139817,799.765850432489,2746.48434711319,1109.02833790664,4889.35094428842,1787.38977627565,806.417690927426,3369.85436644994,712.386441473931,841.0134886292,292.528454680974
"Capitol Ree",3620.8259793032,8489.53482028687,149.50237066093,954.247113800259,1233.47893355655,3231.95630816577,304.197263702684,113.064454919349,108.614988015947,0,906.803734746244,875.803608340317,2771.10872359951,1063.49598895799,2549.46939850115,546.480218853396,3827.52220057294,3064.71987136148,3181.00375274199,4181.68533401862,1828.92035325353,1199.48996682167,2922.45625553557,252.650047002488,614.912398580566,286.096216786119,500.016245421452,2468.82254291853,902.639318281231,4718.95092820443,4721.24396345666,1674.12168598622,2131.60335163715,648.90575394646,3850.79252005029,3619.15953734526,670.616747081713,4397.21398453946,3855.82583769325,926.259794257919,2207.35225268439,262.075238451901,1293.42172686113,1418.57967742282,1474.93157425387,368.901151702979,905.106068254001,1150.9055962452,540.373580582422,662.928674974529,693.850589090573,2853.1463046294,1160.87543606007,4995.0672117478,1864.88517613855,880.013100023149,3314.81195251609,712.992680531061,732.399448367214,193.461147009044
